feature_set,path,kernel,bandwidth_factor,statistic,trajectory_template,row_count,association
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,seed-2|level-1|S0_full_support,36,0.1061691682018753
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.028190283287735325
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.02222891324856341
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.014562431338066352
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.02664348109618402
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.04006074055890078
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.03528343418323883
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.08260168645429906
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.11353012113994915
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.1304849322663552
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.08495214734277384
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.03694398882229728
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.050489941082108754
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.028443835605894408
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.0269254857305822
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.025202154184108233
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.03003382919255155
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.032097967596287656
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.03123067974391396
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.08003878042671118
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.10740323759312455
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.12195774981792505
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.048814350235739344
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.024838418042846182
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.030480413965317837
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.0325459346597272
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.020248151550574092
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,0.009047185796840761
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.002020027869519295
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.046296839882589
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.030818967788256945
