target_id,level,regime,prefix_size,raw_M,effective_M_epsilon_0.05,top_two_gap,top1_miss,selected_true_rank,continuous_regret,standardized_regret,construction_eval_spearman,endpoint_derived_geometry_diagnostic_only
7,1,SRC,10,10,1,0.30000000000000004,1,2,0.30000000000000004,0.6101694915254238,0.29696969696969694,1
7,1,SRC,20,20,1,0.2583333333333333,1,3,0.30000000000000004,0.5255474452554746,0.02934538076779582,1
7,1,SRC,40,40,1,0.2583333333333333,1,3,0.30000000000000004,0.5034965034965035,0.1955981043028563,1
8,0,OACI,5,5,1,0.1499999999999999,1,4,0.30416666666666664,0.7087378640776699,0.3,1
8,0,OACI,10,10,2,0.050000000000000044,1,4,0.1958333333333333,0.40869565217391296,0.6848484848484848,1
8,0,OACI,20,20,2,0.050000000000000044,1,3,0.10416666666666663,0.13440860215053757,0.7476495451630261,1
8,0,OACI,40,40,1,0.054166666666666696,0,1,0.0,0.0,0.8564860436355223,1
8,0,SRC,5,5,3,0.008333333333333304,1,2,0.008333333333333304,0.04878048780487789,0.6,1
8,0,SRC,10,10,3,0.008333333333333304,1,2,0.008333333333333304,0.02597402597402589,0.7212121212121211,1
8,0,SRC,20,20,3,0.008333333333333304,1,2,0.008333333333333304,0.017391304347826028,0.7474595937743945,1
8,0,SRC,40,40,1,0.15000000000000013,0,1,0.0,0.0,0.7983201242819261,1
8,1,OACI,5,5,1,0.15416666666666679,0,1,0.0,0.0,0.7999999999999999,1
8,1,OACI,10,10,1,0.15416666666666679,0,1,0.0,0.0,0.8060606060606059,1
8,1,OACI,20,20,1,0.07916666666666661,0,1,0.0,0.0,0.9112781954887217,1
8,1,OACI,40,40,5,0.012499999999999845,1,3,0.012499999999999845,0.014999999999999816,0.898962880524356,1
8,1,SRC,5,5,3,0.0,1,3,0.03749999999999998,0.47368421052631554,0.15389675281277312,1
8,1,SRC,10,10,3,0.04999999999999993,1,5,0.08749999999999991,0.44680851063829763,0.6504589317376691,1
8,1,SRC,20,20,3,0.04999999999999993,1,5,0.08749999999999991,0.18918918918918903,0.8108311968669438,1
8,1,SRC,40,40,1,0.09999999999999987,0,1,0.0,0.0,0.9100206417714393,1
9,0,OACI,5,5,1,0.14166666666666672,1,2,0.14166666666666672,0.3578947368421053,0.7,1
9,0,OACI,10,10,2,0.050000000000000044,0,1,0.0,0.0,0.9151515151515152,1
9,0,OACI,20,20,3,0.03750000000000009,1,2,0.03750000000000009,0.05960264900662266,0.7042891384270998,1
9,0,OACI,40,40,3,0.03750000000000009,1,2,0.03750000000000009,0.03913043478260879,0.678338508626336,1
9,0,SRC,5,5,1,0.07916666666666661,1,2,0.07916666666666661,0.24358974358974345,0.6,1
9,0,SRC,10,10,1,0.07916666666666661,1,2,0.07916666666666661,0.1792452830188678,0.7112494861056756,1
9,0,SRC,20,20,1,0.07916666666666661,1,2,0.07916666666666661,0.16101694915254225,0.5327313769751693,1
9,0,SRC,40,40,1,0.09166666666666667,0,1,0.0,0.0,0.8496762691188889,1
9,1,OACI,5,5,1,0.07500000000000001,1,2,0.07500000000000001,0.3913043478260869,0.7181848464596079,1
9,1,OACI,10,10,2,0.03749999999999987,0,1,0.0,0.0,0.7781190959104827,1
9,1,OACI,20,20,1,0.16249999999999998,1,3,0.16666666666666674,0.25641025641025655,0.8303874223943468,1
9,1,OACI,40,40,1,0.06458333333333321,1,8,0.16666666666666674,0.25641025641025655,0.6531995765000473,1
9,1,SRC,5,5,1,0.0625,1,2,0.0625,0.3125,0.7,1
9,1,SRC,10,10,1,0.0625,1,2,0.0625,0.2,0.8145934285312865,1
9,1,SRC,20,20,2,0.008333333333333304,1,3,0.0625,0.16129032258064518,0.7655250824456789,1
9,1,SRC,40,40,3,0.02083333333333337,1,14,0.5166666666666666,0.5904761904761904,0.6688564951876913,1
