budget,endpoint,order,component,component_code,mean_marginal_gain
8,bAcc,S->G->N->U->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->G->E->N->U,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->G->E->U->N,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->G->U->N->E,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,S->G->U->E->N,candidate_specific_unexplained_residual,G,0.8888888888888888
8,bAcc,G->N->E->U->S,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->N->E->S->U,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->N->U->E->S,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->N->U->S->E,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->N->S->E->U,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->N->S->U->E,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->E->N->U->S,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->E->N->S->U,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->E->U->N->S,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->E->U->S->N,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->E->S->N->U,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->E->S->U->N,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->U->N->E->S,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->U->N->S->E,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->U->E->N->S,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->U->E->S->N,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->U->S->N->E,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->U->S->E->N,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->S->N->E->U,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->S->N->U->E,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->S->E->N->U,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->S->E->U->N,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->S->U->N->E,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,G->S->U->E->N,candidate_specific_unexplained_residual,G,0.9403685929459521
8,bAcc,N->E->U->S->G,finite_label_noise,N,0.16259081516817422
8,bAcc,N->E->U->G->S,finite_label_noise,N,0.16259081516817422
8,bAcc,N->E->S->U->G,finite_label_noise,N,0.16259081516817422
8,bAcc,N->E->S->G->U,finite_label_noise,N,0.16259081516817422
8,bAcc,N->E->G->U->S,finite_label_noise,N,0.16259081516817422
8,bAcc,N->E->G->S->U,finite_label_noise,N,0.16259081516817422
8,bAcc,N->U->E->S->G,finite_label_noise,N,0.16259081516817422
8,bAcc,N->U->E->G->S,finite_label_noise,N,0.16259081516817422
8,bAcc,N->U->S->E->G,finite_label_noise,N,0.16259081516817422
8,bAcc,N->U->S->G->E,finite_label_noise,N,0.16259081516817422
8,bAcc,N->U->G->E->S,finite_label_noise,N,0.16259081516817422
8,bAcc,N->U->G->S->E,finite_label_noise,N,0.16259081516817422
8,bAcc,N->S->E->U->G,finite_label_noise,N,0.16259081516817422
8,bAcc,N->S->E->G->U,finite_label_noise,N,0.16259081516817422
8,bAcc,N->S->U->E->G,finite_label_noise,N,0.16259081516817422
8,bAcc,N->S->U->G->E,finite_label_noise,N,0.16259081516817422
8,bAcc,N->S->G->E->U,finite_label_noise,N,0.16259081516817422
8,bAcc,N->S->G->U->E,finite_label_noise,N,0.16259081516817422
8,bAcc,N->G->E->U->S,finite_label_noise,N,0.16259081516817422
