dataset,target_subject,method,n_source_seeds,bacc_q01,bacc_q05,bacc_q09,acc_q01,acc_q05,acc_q09,prevalence_sensitivity,endpoint_mean_bacc,worst_prevalence_bacc,prediction_disagreement_q01_vs_q05,prediction_disagreement_q09_vs_q05,endpoint_mean_prediction_disagreement
Lee2019_MI,12,FP-GEM,3,0.6866666666666665,0.6533333333333334,0.6333333333333333,0.6866666666666665,0.6533333333333334,0.6333333333333333,0.026666666666666616,0.6599999999999999,0.6333333333333333,0.18000000000000002,0.14,0.16000000000000003
Lee2019_MI,13,source_only_tsmnet,3,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0,0.5533333333333333,0.5533333333333333,0.0,0.0,0.0
Lee2019_MI,13,rct,3,0.6533333333333333,0.6466666666666666,0.6133333333333334,0.6533333333333333,0.6466666666666666,0.6133333333333333,0.019999999999999962,0.6333333333333333,0.6133333333333334,0.060000000000000005,0.08666666666666667,0.07333333333333333
Lee2019_MI,13,spdim_geodesic,3,0.66,0.6266666666666666,0.6066666666666668,0.66,0.6266666666666666,0.6066666666666666,0.026666666666666616,0.6333333333333334,0.6066666666666668,0.06,0.08666666666666667,0.07333333333333333
Lee2019_MI,13,spdim_bias,3,0.6466666666666666,0.6133333333333334,0.6066666666666668,0.6466666666666666,0.6133333333333334,0.6066666666666668,0.019999999999999907,0.6266666666666667,0.6066666666666668,0.11333333333333333,0.07333333333333332,0.09333333333333332
Lee2019_MI,13,Joint-GEM,3,0.66,0.6133333333333333,0.5933333333333334,0.66,0.6133333333333333,0.5933333333333334,0.033333333333333326,0.6266666666666667,0.5933333333333334,0.10000000000000002,0.09999999999999999,0.1
Lee2019_MI,13,FP-GEM,3,0.64,0.6000000000000001,0.5733333333333334,0.64,0.6000000000000001,0.5733333333333334,0.033333333333333326,0.6066666666666667,0.5733333333333334,0.08,0.09333333333333334,0.08666666666666667
Lee2019_MI,14,source_only_tsmnet,3,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0,0.5533333333333333,0.5533333333333333,0.0,0.0,0.0
Lee2019_MI,14,rct,3,0.6266666666666666,0.6733333333333333,0.6466666666666666,0.6266666666666666,0.6733333333333333,0.6466666666666666,0.036666666666666736,0.6366666666666666,0.6266666666666666,0.07333333333333333,0.08,0.07666666666666666
Lee2019_MI,14,spdim_geodesic,3,0.64,0.68,0.64,0.64,0.68,0.64,0.040000000000000036,0.64,0.64,0.06666666666666667,0.08,0.07333333333333333
